node_id,device_type,latitude,longitude,battery_level,status,signal_strength,last_seen,registered
NODE_0019,Laptop,40.712652,-74.006729,59,inactive,38,2026-07-23T16:25:12.708802+00:00,2026-07-23T16:25:12.708803+00:00
NODE_0020,Laptop,40.713935,-74.003514,0,offline,0,2026-07-23T16:25:12.708808+00:00,2026-07-23T16:25:12.708810+00:00
NODE_0021,Laptop,40.714309,-74.011532,29,active,80,2026-07-23T16:25:12.708816+00:00,2026-07-23T16:25:12.708817+00:00
NODE_0022,Tablet,40.708488,-74.006622,28,inactive,56,2026-07-23T16:25:12.708823+00:00,2026-07-23T16:25:12.708824+00:00
NODE_0023,IoT Sensor,40.713487,-74.005989,21,inactive,49,2026-07-23T16:25:12.708837+00:00,2026-07-23T16:25:12.708839+00:00
NODE_0024,Tablet,40.710643,-74.000576,28,active,95,2026-07-23T16:25:12.708845+00:00,2026-07-23T16:25:12.708847+00:00
NODE_0025,Emergency Beacon,40.715958,-74.008868,84,active,78,2026-07-23T16:25:12.708853+00:00,2026-07-23T16:25:12.708854+00:00
NODE_0026,Smartphone,40.710097,-74.007617,88,active,65,2026-07-23T16:25:12.708860+00:00,2026-07-23T16:25:12.708862+00:00
NODE_0027,Smartphone,40.71106,-74.003565,59,active,54,2026-07-23T16:25:12.708868+00:00,2026-07-23T16:25:12.708870+00:00
NODE_0028,IoT Sensor,40.711382,-74.006756,62,emergency,95,2026-07-23T16:25:12.708876+00:00,2026-07-23T16:25:12.708878+00:00
NODE_0029,Smartphone,40.710178,-74.0112,70,active,57,2026-07-23T16:25:12.708885+00:00,2026-07-23T16:25:12.708887+00:00
NODE_0030,Smartphone,40.708494,-74.002082,24,inactive,32,2026-07-23T16:25:12.708892+00:00,2026-07-23T16:25:12.708894+00:00
NODE_0031,Emergency Beacon,40.713585,-74.001727,43,active,82,2026-07-23T16:25:12.708899+00:00,2026-07-23T16:25:12.708901+00:00
NODE_0032,Laptop,40.71019,-74.002691,81,active,93,2026-07-23T16:25:12.708906+00:00,2026-07-23T16:25:12.708908+00:00
NODE_0033,Smartphone,40.711383,-74.005999,45,active,46,2026-07-23T16:25:12.708916+00:00,2026-07-23T16:25:12.708918+00:00
NODE_0034,Emergency Beacon,40.708985,-74.011127,96,active,65,2026-07-23T16:25:12.708925+00:00,2026-07-23T16:25:12.708927+00:00
NODE_0035,IoT Sensor,40.711704,-74.009484,43,inactive,37,2026-07-23T16:25:12.708932+00:00,2026-07-23T16:25:12.708934+00:00
NODE_0036,Laptop,40.712784,-74.005656,72,active,74,2026-07-23T16:25:12.708939+00:00,2026-07-23T16:25:12.708941+00:00
NODE_0037,Smartphone,40.711569,-74.009172,33,active,40,2026-07-23T16:25:12.708946+00:00,2026-07-23T16:25:12.708948+00:00
NODE_0038,Tablet,40.710047,-74.002949,18,active,72,2026-07-23T16:25:12.708953+00:00,2026-07-23T16:25:12.708955+00:00
NODE_0039,Smartphone,40.715819,-74.001461,83,emergency,59,2026-07-23T16:25:12.708962+00:00,2026-07-23T16:25:12.708964+00:00
NODE_0040,Smartphone,40.710537,-74.002172,90,active,99,2026-07-23T16:25:12.708969+00:00,2026-07-23T16:25:12.708970+00:00
NODE_0041,Laptop,40.710739,-74.007004,65,emergency,79,2026-07-23T16:25:12.708976+00:00,2026-07-23T16:25:12.708978+00:00
NODE_0042,Smartphone,40.714876,-74.001413,76,active,53,2026-07-23T16:25:12.708984+00:00,2026-07-23T16:25:12.708985+00:00
NODE_0043,IoT Sensor,40.712102,-74.010227,6,inactive,94,2026-07-23T16:25:12.708991+00:00,2026-07-23T16:25:12.708992+00:00
NODE_0044,Emergency Beacon,40.710333,-74.010641,11,active,91,2026-07-23T16:25:12.708998+00:00,2026-07-23T16:25:12.708999+00:00
NODE_0045,Tablet,40.708922,-74.0052,34,active,92,2026-07-23T16:25:12.709005+00:00,2026-07-23T16:25:12.709006+00:00
NODE_0046,IoT Sensor,40.711432,-74.002814,41,active,100,2026-07-23T16:25:12.709012+00:00,2026-07-23T16:25:12.709013+00:00
NODE_0047,Emergency Beacon,40.710013,-74.00557,39,inactive,65,2026-07-23T16:25:12.709019+00:00,2026-07-23T16:25:12.709021+00:00
NODE_0048,Laptop,40.713201,-74.00127,45,active,89,2026-07-23T16:25:12.709028+00:00,2026-07-23T16:25:12.709029+00:00
NODE_0049,Emergency Beacon,40.713058,-74.010475,29,active,42,2026-07-23T16:25:12.709035+00:00,2026-07-23T16:25:12.709036+00:00
NODE_0050,Emergency Beacon,40.714212,-74.008411,42,emergency,78,2026-07-23T16:25:12.709042+00:00,2026-07-23T16:25:12.709044+00:00
NODE_0051,IoT Sensor,40.708596,-74.006518,43,active,60,2026-07-23T16:25:12.709049+00:00,2026-07-23T16:25:12.709051+00:00
NODE_0052,Laptop,40.715133,-74.009467,16,active,94,2026-07-23T16:25:12.709058+00:00,2026-07-23T16:25:12.709059+00:00
NODE_0053,IoT Sensor,40.713932,-74.007671,78,emergency,93,2026-07-23T16:25:12.709065+00:00,2026-07-23T16:25:12.709067+00:00
NODE_0054,Emergency Beacon,40.712138,-74.007651,15,active,49,2026-07-23T16:25:12.709075+00:00,2026-07-23T16:25:12.709078+00:00
NODE_0055,Smartphone,40.716098,-74.007786,19,active,91,2026-07-23T16:25:12.709088+00:00,2026-07-23T16:25:12.709089+00:00
NODE_0056,Laptop,40.714861,-74.003957,63,active,49,2026-07-23T16:25:12.709095+00:00,2026-07-23T16:25:12.709096+00:00
NODE_0057,Laptop,40.711134,-74.007701,20,emergency,67,2026-07-23T16:25:12.709102+00:00,2026-07-23T16:25:12.709104+00:00
NODE_0058,Smartphone,40.716134,-74.001083,52,inactive,91,2026-07-23T16:25:12.709111+00:00,2026-07-23T16:25:12.709112+00:00
NODE_0059,Emergency Beacon,40.714363,-74.005142,81,inactive,67,2026-07-23T16:25:12.709118+00:00,2026-07-23T16:25:12.709120+00:00
NODE_0060,Smartphone,40.712191,-74.010629,85,inactive,33,2026-07-23T16:25:12.709126+00:00,2026-07-23T16:25:12.709127+00:00
NODE_0061,Tablet,40.711952,-74.011516,9,active,44,2026-07-23T16:25:12.709133+00:00,2026-07-23T16:25:12.709135+00:00
NODE_0062,Laptop,40.713028,-74.007938,76,active,56,2026-07-23T16:25:12.709140+00:00,2026-07-23T16:25:12.709142+00:00
NODE_0063,Tablet,40.71323,-74.0025,54,active,94,2026-07-23T16:25:12.709148+00:00,2026-07-23T16:25:12.709149+00:00
NODE_0064,IoT Sensor,40.715172,-74.002972,42,active,89,2026-07-23T16:25:12.709155+00:00,2026-07-23T16:25:12.709156+00:00
NODE_0065,Tablet,40.712112,-74.005724,61,active,65,2026-07-23T16:25:12.709163+00:00,2026-07-23T16:25:12.709164+00:00
NODE_0066,Smartphone,40.709507,-74.00694,78,emergency,71,2026-07-23T16:25:12.709172+00:00,2026-07-23T16:25:12.709173+00:00
NODE_0067,Tablet,40.71241,-74.009091,66,active,84,2026-07-23T16:25:12.709179+00:00,2026-07-23T16:25:12.709181+00:00
NODE_0068,IoT Sensor,40.71045,-74.004172,85,active,91,2026-07-23T16:25:12.709188+00:00,2026-07-23T16:25:12.709189+00:00
NODE_0069,Laptop,40.716758,-74.010086,72,active,74,2026-07-23T16:25:12.709195+00:00,2026-07-23T16:25:12.709196+00:00
NODE_0070,Tablet,40.712561,-74.004818,25,inactive,70,2026-07-23T16:25:12.709202+00:00,2026-07-23T16:25:12.709204+00:00
NODE_0071,Tablet,40.708489,-74.008647,0,offline,0,2026-07-23T16:25:12.709209+00:00,2026-07-23T16:25:12.709211+00:00
NODE_0072,Laptop,40.717213,-74.006953,42,inactive,85,2026-07-23T16:25:12.709216+00:00,2026-07-23T16:25:12.709218+00:00
NODE_0073,IoT Sensor,40.712186,-74.004188,19,inactive,77,2026-07-23T16:25:12.709223+00:00,2026-07-23T16:25:12.709225+00:00
NODE_0074,Laptop,40.714009,-74.000693,53,active,80,2026-07-23T16:25:12.709230+00:00,2026-07-23T16:25:12.709232+00:00
NODE_0075,Laptop,40.710672,-74.00425,0,offline,0,2026-07-23T16:25:12.709237+00:00,2026-07-23T16:25:12.709238+00:00
